,text,label
0,Followers of Judaism believe in one God who revealed himself through ancient prophets.,1
1,Jewish people believe there’s only one God who has established a covenant—or special agreement—with them.,1
2,Their God communicates to believers through prophets and rewards good deeds while also punishing evil.,1
3,Most Jews (with the exception of a few groups) believe that their Messiah hasn’t yet come—but will one day.,1
4,"Jewish people worship in holy places known as synagogues, and their spiritual leaders are called rabbis. ",1
5,The six-pointed Star of David is the symbol of Judaism.,1
6,"Today, there are about 14 million Jews worldwide. Most of them live in the United States and Israel.",1
7,The Jewish sacred text is called the Tanakh or the “Hebrew Bible.”,1
8,"It includes the same books as the Old Testament in the Christian Bible, but they’re placed in a slightly different order.",1
0,"The Christian faith centers on beliefs regarding the birth, life, death and resurrection of Jesus Christ.",1
1,"While it started with a small group of adherents, many historians regard the spread and adoption of Christianity throughout the world as one of the most successful spiritual missions in human history.",1
2,"Christians are monotheistic, i.e., they believe there’s only one God, and he created the heavens and the earth. This divine Godhead consists of three parts: the father (God himself), the son (Jesus Christ) and the Holy Spirit.",1
3,"The essence of Christianity revolves around the life, death and Christian beliefs on the resurrection of Jesus. Christians believe God sent his son Jesus, the messiah, to save the world.",1
4,Christians contend that Jesus will return to earth again in what’s known as the Second Coming.,1
5,"The Holy Bible includes important scriptures that outline Jesus’s teachings, the lives and teachings of major prophets and disciples, and offer instructions for how Christians should live.",1
6,"Both Christians and Jews follow the Old Testament of the Bible, but Christians also embrace the New Testament.",1
7,The most important Christian holidays are Christmas (which celebrates the birth of Jesus) and Easter (which commemorates the resurrection of Jesus).,1
0,"Although its roots go back further, scholars typically date the creation of Islam to the 7th century, making it the youngest of the major world religions.",1
1,"Islam started in Mecca, in modern-day Saudi Arabia, during the time of the prophet Muhammad’s life. ",1
2,The word “Islam” means “submission to the will of God.”,1
3,Followers of Islam are called Muslims.,1
4,"Muslims are monotheistic and worship one, all-knowing God, who in Arabic is known as Allah.",1
5,"Followers of Islam aim to live a life of complete submission to Allah. They believe that nothing can happen without Allah’s permission, but humans have free will.",1
6,Islam teaches that Allah’s word was revealed to the prophet Muhammad through the angel Gabriel.,1
7,"Muslims believe several prophets were sent to teach Allah’s law. They respect some of the same prophets as Jews and Christians, including Abraham, Moses, Noah and Jesus. Muslims contend that Muhammad was the final prophet.",1
8,Mosques are places where Muslims worship.,1
9,"Some important Islamic holy places include the Kaaba shrine in Mecca, the Al-Aqsa mosque in Jerusalem, and the Prophet Muhammad’s mosque in Medina.",1
10,The Quran (or Koran) is the major holy text of Islam. The Hadith is another important book. Muslims also revere some material found in the Judeo-Christian Bible.,1
11,"Followers worship Allah by praying and reciting the Quran. They believe there will be a day of judgment, and life after death.",1
12,"A central idea in Islam is “jihad,” which means “struggle.” While the term has been used negatively in mainstream culture, ",1
13,"Muslims believe it refers to internal and external efforts to defend their faith. Although rare, this can include military jihad if a “just war” is needed.",1
0,"With about 470 million followers, scholars consider Buddhism one of the major world religions.",0
1,"Its practice has historically been most prominent in East and Southeast Asia, but its influence is growing in the West.",0
2,"Followers of Buddhism don’t acknowledge a supreme god or deity. They instead focus on achieving enlightenment—a state of inner peace and wisdom. When followers reach this spiritual echelon, they’re said to have experienced nirvana.",0
3,"The religion’s founder, Buddha, is considered an extraordinary being, but not a god. The word Buddha means “enlightened.”",0
4,"The path to enlightenment is attained by utilizing morality, meditation and wisdom. Buddhists often meditate because they believe it helps awaken truth.",0
5,"There are many philosophies and interpretations within Buddhism, making it a tolerant and evolving religion.",0
6,"Some scholars don’t recognize Buddhism as an organized religion, but rather, a “way of life” or a “spiritual tradition.”",0
7,Buddhism encourages its people to avoid self-indulgence but also self-denial.,0
8,"Buddha’s most important teachings, known as The Four Noble Truths, are essential to understanding the religion.",0
9,Buddhists embrace the concepts of karma (the law of cause and effect) and reincarnation (the continuous cycle of rebirth).,0
10,Followers of Buddhism can worship in temples or in their own homes.,0
11,"Buddhist monks, or bhikkhus, follow a strict code of conduct, which includes celibacy.",0
12,"There is no single Buddhist symbol, but a number of images have evolved that represent Buddhist beliefs, including the lotus flower, the eight-spoked dharma wheel, the Bodhi tree and the swastika. ",0
0,"today, with about 900 million followers, Hinduism is the third-largest religion behind Christianity and Islam.",0
1,Hinduism is unique in that it’s not a single religion but a compilation of many traditions and philosophies.,0
2,"Hinduism embraces many religious ideas. For this reason, it’s sometimes referred to as a “way of life” or a “family of religions,” as opposed to a single, organized religion.",0
3,"Most forms of Hinduism are henotheistic, which means they worship a single deity, known as “Brahman,” but still recognize other gods and goddesses. Followers believe there are multiple paths to reaching their god.",0
4,"Hindus believe in the doctrines of samsara (the continuous cycle of life, death, and reincarnation) and karma (the universal law of cause and effect)",0
5,"One of the key thoughts of Hinduism is “atman,” or the belief in soul. This philosophy holds that living creatures have a soul, and they’re all part of the supreme soul.",0
6,"The goal is to achieve “moksha,” or salvation, which ends the cycle of rebirths to become part of the absolute soul.",0
7,One fundamental principle of the religion is the idea that people’s actions and thoughts directly determine their current life and future lives.,0
8,"Hindus strive to achieve dharma, which is a code of living that emphasizes good conduct and morality.",0
9,Hindus revere all living creatures and consider the cow a sacred animal.,0
10,"Food is an important part of life for Hindus. Most don’t eat beef or pork, and many are vegetarians.",0
11,"Hinduism is closely related to other Indian religions, including Buddhism, Sikhism and Jainism.",0
0,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians.",0
1,Looks good to roll out to all Tesla owners with 10.12.2 (~100k cars)!,0
2,Tesla North America aiming for >50 same hour service,0
3,Enter your destination & your Tesla will automatically include Supercharging stops in your route,0
4,"It’s sad though, because they are both uncomfortably sweaty from pedaling the paddle wheel propulsion system. ",0
5,"When two people who are dating both like one of my tweets, i like to picture them both laughing at it together while holding hands in a swan boat",0
6,Recently after more than 20 years as a Google account holder my YouTube channel was suspended without warning and without any reason given.,0
7,"After 20 years or more of using YouTube, they locked me out of my YouTube and yt music account without any reason.",0
8,I used to call Yahoo my safe email. They pretty much ruined that experience for me by deleting all my emails they claim due inactivity on my emails when I saw them less than 2 months ago.,0
9,Comments section of Yahoo controlled by alt-reality biased moderators supporting lies harmful to the Nation.,0
10,"Although, Facebook is a social media platform, but it is also being used for business purposes, so fake, hateful, and political publishing should be avoided to make this platform professionally sound.",0
11,There is no mechanism to publish some verified information on this platform.,0
12,"There is a lot of advertisement on Facebook, which always irritates me.",0
13,Jordi Cruyff has signed his contract as FC Barcelona's new sporting director of football. He has already been serving in the role since July 1.,0
14,"An FC Barcelona player from 1993 to 1996, he returned to the club last season as director of the international area of the football section and played a key role in the two most recent transfer windows as a member of the Sporting Commission.",0
15,"Our main objective was to create less stress for applicants. We constantly consider changes to the admissions process which could improve the experience for applicants, and the reasons for this change became more apparent over the last application cycle. ",0
16,All prospective students will now be able to express their interest in attending Justice Amy Coney Barrett’s alma mater in the regular application’s “Why Notre Dame Law School?” statement.,0
17,"Then an assistant professor at Seokyeong University in Seoul, Cho was considered a surprise pick, given her lack of political experience, although she had built a reputation for her knowledge of defence and national security issues.",0
18,"But just three days into the job, Cho’s political career was over, her dream shattered by a scandal that briefly overshadowed the race for the leadership of one of Asia’s biggest economies.",0
19,"The sudden collapse of the cryptocurrencies in May triggered losses in the billions of dollars among investors both large and small, and led South Korean authorities to issue an arrest warrant Wednesday for Kwon. ",0
20,The digital sector is still reverberating from the devastating financial losses and the company’s spectacular demise that have turned the 30-year-old crypto entrepreneur into arguably the most hated man in South Korea. Adding to the scandal is the fact that Kwon has become a fugitive.,0
21,"Understanding why so many took a gamble on Kwon has a lot to do with the power of social media – he managed to attract a vast network of followers. He was almost like the financial guru of a cult, said Donghwan Kim, a South Korean investment adviser in an interview with the Financial Times. ",0
