text	label
The Pennsylvania Roundpike drivers were allowed to board without tax for at least one day when the Pennsylvania Roundpike drivers started boarding on the day before Thanksgiving.	2
Japan has shut down the commercial banking offices of Citigraph, the commercial banking offices of Japan's commercial banks.	2
The F.D.A. supports a response to the safety issue of Vioxx, and among the questions about whether or not Vioxx is going to be released on the market in due course, Senator Charles Grassley called for more safety precautions.	2
Oil is falling again. The U.S. standard price of oil is down from 96 cents, or two cents a barrel, to 43.03 dollars a barrel, because traders are confident in supply and demand dynamics, down from a peak of almost 50 dollars a barrel in July to about 13 cents a day.	2
Motorola's going to cut 1,000 jobs worldwide, and it's going to get 50 billion dollars in pregnancy benefits.	2
When toll collectors went on strike on the day before Thanksgiving, drivers on the Pennsylvania Turnpike were allowed to go through the toll booths without paying -- at least, for one day.	2
The Committee recommends that the State party take all necessary measures to ensure the full enjoyment of all human rights and fundamental freedoms by women, including the right to education, the right to health, the right to food, the right to adequate housing, the right to education, the right to adequate housing, the right to education, the right to health care, the right to education, the right to health care, the right to education, the right to education, the right to health care, the right to education, the right to health care, the right to education, the right to education, the right to health care, the right to education, the right to health care, the right to education, the right to education, the right to health care, the right to education, the right to education, the right to health care, the right to education, the right to education, the right to health care, the right to education, the right to	2
F.D.A. Defends Its Handling of Vioxx Safety Issues Amid questions about whether the drug Vioxx was taken off the market soon enough, Senator Charles Grassley called for more safety precautions.	2
The United States crude prices fell from 96 cents, or 2 cents, to $43.03 per barrel, as traders felt confident about supply and demand dynamics.	2
Motorola will cut 1,000 jobs, take on the burden Motorola Inc. will cut 1,000 jobs worldwide and take on a $50 million burden for separation benefits, officials said Tuesday.	2
There are no more tolls on the highway, as the strike continues HIGHSPIRE, PA. When toll collectors went on strike the day before Thanksgiving, drivers on the Pennsylvania highway were allowed to cross the toll booths free of charge — for at least one day.	2
Japan shut down Citigroup's private banking operations Japan ordered Citigroup's commercial banking unit to shut down its Japanese private offices, closing down its lucrative business.	2
The F.D.A. stands for its treatment of the Vioxx safety issues, and in the midst of questions about whether the Vioxx drug was withdrawn from the market quickly, Senator Charles Grassley called for more safety precautions.	2
Crude Oil Still Floating American crude oil went down 96 cents, or two, to $43.03 a barrel, as speculators were confident in the supply and demand dynamics, and prices are now down, about 13, from their peak of nearly 50 dollars a barrel in September.	2
Motorola's going to cut 1,000 jobs, take the cost Motorola Inc.'s going to cut 1,000 jobs worldwide and take the cost of \$50 million for separation benefits, they said Tuesday. Motorola's closing down a subsidiary of its chipset operations, now operating independently.	2
’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ 	2
Japan closes Citigroup's private banking business The business banking sector of Citigroup has been ordered to close its private banking business in Japan from its profitable business.	2
F.D.A. Defends Dealing with Vox Security Senator Charles Grassley called for more security measures.	2
Crude Oil Prices Fall Again The benchmark price of US crude oil fell by 96 cents, or 2 cents, to $43.03 a barrel, with traders confident of supply and demand dynamics.	2
Motorola will cut 1,000 jobs and take responsibility Motorola will cut 1,000 jobs and take responsibility for $50 billion in severance benefits, officials said Tuesday, adding that Motorola is completing its chip division and is now operating independently	2
There are no more tolls on the highway, as the food strike goes on. When the collectors went on a hunger strike the day before Thanksgiving, drivers on the highway in Pennsylvania were allowed to go through the toll booths without paying -- for at least one day.	2
Japan closes down private banking offices for Citigroup Japan has ordered a commercial banking unit for Citigroup to close down private banking offices in Japan, and shut them down from profitable businesses.	2
Defense of the F.D.A.'s handling of the Vioxx safety issues amidst questions about whether the Vioxx was withdrawn from the market soon enough, Senator Charles Grassley called for more safety warnings.	2
Crude oil is coming down again. The U.S. crude oil index went down 96 cents, or two, to 43.03 dollars a barrel, because marketers felt confident in the supply and demand dynamics. Prices have now come down by about 13 percent from their peak of about 50 dollars a barrel in September.	2
Motorola's going to cut thousands of jobs, take over Motorola's responsibilities. Motorola's going to cut thousands of jobs around the world and take over about 50 million dollars in payroll benefits, employees said Tuesday. Motorola is completing a chip replacement, now operating independently.	2
There are no more free tolls on the sidewalk as the strike continues HIGHSPIRE, PA. When toll collectors went on strike the day before Thanksgiving, Pennsylvania sidewalk drivers were able to pass toll booths without paying -- for at least one day.	2
Japan stops Citigroup's private banking operations Japan has ordered Citigroup's commercial banking unit to close its Japanese private banking offices, preventing it from carrying out profitable activities.	2
